"PRODUCT_ID","PRODUCT_NAME","LVL1","LVL2","LVL3","LVL4","PRODUCT_LINE"
"     3344118","Simplistico Frozen  Pizza 350 g","Products","Cooked Dishes","Pizza","Frozen Pizza","Simplistico 0.35"
"     3344119","Simplistico 4 cheese frozen Pizza 350 g","Products","Cooked Dishes","Pizza","Frozen Pizza","Simplistico 0.35"
"     3349314","Simplistico pizza with mushrooms, pepper and tofu cheese frozen 450g","Products","Cooked Dishes","Pizza","Frozen Pizza","Simplistico 0.45"
"     3349315","Simplistico Frozen pizza lean with mushrooms, potatoes and tofu cheese 450g","Products","Cooked Dishes","Pizza","Frozen Pizza","Simplistico 0.45"
"     3351643","Tradizione Pizzeria Feliciana ham and pesto frozen pizza 360 g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.36"
"     3351644","Tradizione Pizzeria Feliciana pizza salami and chorizo frozen 320g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.32"
"     3351645","Tradizione Pizzeria Feliciana four cheeses frozen Pizza 325 g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.325"
"     3352502","Casserole Areo Classic 5% 200 g","Products","Milk Products","Curd Products","Curd Desserts","Areo 0.2"
"     3352503","Casserole Areo with blueberries 5% 200 g","Products","Milk Products","Curd Products","Curd Desserts","Areo 0.2"
"     3352504","Casserole Areo with apple and cinnamon 5% 200 g","Products","Milk Products","Curd Products","Curd Desserts","Areo 0.2"
"     3352505","Casserole Areo of flavour with blackcurrant 5% 200 g","Products","Milk Products","Curd Products","Curd Desserts","Areo 0.2"
"     3352506","Casserole Areo flavoured with apple carrot and raisins 5% 200 g","Products","Milk Products","Curd Products","Curd Desserts","Areo 0.2"
"     3355208","Dolce curd vanilla casserole 5.5% 165 g","Products","Milk Products","Curd Products","Curd Desserts","Dolche 0.165"
"     3355209","Dolce curd casserole with raisins 5.5% 165 g","Products","Milk Products","Curd Products","Curd Desserts","Dolche 0.165"
"     3355210","Dolce curd casserole with pear 5.5% 165 g","Products","Milk Products","Curd Products","Curd Desserts","Dolche 0.165"
"     3355231","Dolce curd casserole with apple and cinnamon 5.5% 165 g","Products","Milk Products","Curd Products","Curd Desserts","Dolche 0.165"
"     3359011","Nuga Leo Tolstoy glazed with hazelnuts in milk chocolate 40 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.04"
"     3359012","Dessert Leo Tolstoy curd glazed with vanilla and biscuit in milk chocolate 20% 40 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.04"
"     3361608","Grace Casserole 15% 180 g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3362890","Cream Russian Tradition curd dessert 15% 230 g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3362901","Cream curd dessert Russian Tradition """"Marakuya"""" 15% 150g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3362902","Mousse curd Russian Tradition """"With Cherry"""" 2,7% 125g","Products","Milk Products","Curd Products","Curd Desserts","Russian Tradition 0.125"
"     3362903","Mousse curd Russian Tradition """"With pear"""" 2,7% 125g","Products","Milk Products","Curd Products","Curd Desserts","Russian Tradition 0.125"
"     3362904","Curd mousse Russian Tradition with fruit and berry filling raspberry 2.7% 125 g","Products","Milk Products","Curd Products","Curd Desserts","Russian Tradition 0.125"
"     3362914","Dessert cottage cheese with coconut and condensed milk, 200g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3362915","Curd mousse Russian Tradition """"Cherry with chocolate"""" 110g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3365819","Pater Casa Pizza Frozen Ham-cheese Pizza 350g","Products","Cooked Dishes","Pizza","Frozen Pizza","Pater 0.35"
"     3365820","Pater Casa Pizza Frozen Pizza Assortment 350g","Products","Cooked Dishes","Pizza","Frozen Pizza","Pater 0.35"
"     3366063","Pizza Caesar mushrooms and frozen ham 420 g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3366064","La Trattoria Caesar with Mozzarella  Frozen Pizza 390 g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3366065","La Trattoria Pizza Ham and mushrooms frozen 335g","Products","Cooked Dishes","Pizza","Frozen Pizza","La Trattoria 0.335"
"     3366066","La Trattoria mozzarella frozen pizza 335g","Products","Cooked Dishes","Pizza","Frozen Pizza","La Trattoria 0.335"
"     3366067","La Trattoria pizza with ham frozen 335g","Products","Cooked Dishes","Pizza","Frozen Pizza","La Trattoria 0.335"
"     3366068","La Trattoria Pepperoni frozen pizza 335g","Products","Cooked Dishes","Pizza","Frozen Pizza","La Trattoria 0.335"
"     3367920","Traditional Cream Curd lemon 7% 150 g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3367921","Traditional Cream Curd dessert 15% 150 g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3368429","Nuga Russian Tradition glazed 40 g","Products","Milk Products","Curd Products","Curd Desserts","Russian Tradition 0.04"
"     3368430","Dessert Leo Tolstoy curd glazed with coconut and biscuit in milk chocolate 20% 40 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.04"
"     3368431","Casserole Leo Tolstoy curd cherry 13% 100 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.1"
"     3368432","Casserole Leo Tolstoy cottage cheese with vanilla 16% 100 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.1"
"     3368433","Casserole Russian Tradition cottage cheese with vanilla 16% 40 g","Products","Milk Products","Curd Products","Curd Desserts","Russian Tradition 0.04"
"     3368434","Casserole Russian Tradition cottage cheese with raisins 16% 40 g","Products","Milk Products","Curd Products","Curd Desserts","Russian Tradition 0.04"
"     3368435","Dessert Leo Tolstoy curd cheesecake chocolate 15% 40 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.04"
"     3372728","La Trattoria assorted frozen pizza 335g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3379425","Casserole Leo Tolstoy curd strawberry 13% 100 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.1"
"     3379426","Casserole Leo Tolstoy curd lemon 13% 100 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.1"
"     3379427","Casserole Leo Tolstoy curd apricot 13% 100 g","Products","Milk Products","Curd Products","Curd Desserts","Tolstoy 0.1"
"     3391909","Tradizione Pizzeria Ristorante Margarita Deep Freeze Pizza 295g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3391910","Tradizione Pizzeria Feliciana Chicken and Ricotta Deep Freeze Pizza 335g","Products","Cooked Dishes","Pizza","Frozen Pizza","Tradizione Pizzeria 0.335"
"     3393309","Curd Leo Tolstoy with chocolate chip 4.2% 150 g","Products","Milk Products","Curd Products","Curd Desserts",""
"     3396470","Duomo Margarita Frozen Pizza 320g","Products","Cooked Dishes","Pizza","Frozen Pizza",""
"     3396471","Duomo Spicy Salami frozen pizza 340g","Products","Cooked Dishes","Pizza","Frozen Pizza","Duomo 0.34"
"     3396472","Duomo spicy salami prosciutto and Cardoncelli mushrooms frozen pizza 340g","Products","Cooked Dishes","Pizza","Frozen Pizza","Duomo 0.34"
"     3396473","Duomo Prosciutto frozen pizza 340g","Products","Cooked Dishes","Pizza","Frozen Pizza","Duomo 0.34"
"     3396474","Duomo Pizza Four cheeses frozen Pizza 320 g","Products","Cooked Dishes","Pizza","Frozen Pizza","Duomo 0.34"
"     3396475","Duomo Spinach and Ricotta Frozen Pizza 380g","Products","Cooked Dishes","Pizza","Frozen Pizza","Duomo 0.34"
"     3397256","Roma Party Pizza with four kinds of cheese frozen 350g","Products","Cooked Dishes","Pizza","Frozen Pizza","Roma 0.35"
