"PRODUCT_ID","DATE","QNT_IN_STOCK","STORE_ID"
"3351645","24/06/18","  42","DC01"
"3349314","18/03/18"," 133","DC01"
"3351643","28/05/18","   1","DC01"
"3349315","09/05/18","  71","DC01"
"3352504","05/06/18","   7","DC01"
"3351644","19/05/18","  21","DC01"
"3351644","27/05/18","  10","DC01"
"3349315","14/05/18","  59","DC01"
"3351645","09/06/18","  45","DC01"
"3351643","09/06/18","  37","DC01"
"3351644","23/06/18","   6","DC01"
"3349315","29/03/18"," 138","DC01"
"3351644","19/06/18","  30","DC01"
"3352503","29/06/18","   5","DC01"
"3352503","05/06/18","   4","DC01"
"3349314","27/03/18"," 106","DC01"
"3352503","17/06/18","  15","DC01"
"3349315","31/03/18"," 126","DC01"
"3352504","04/06/18","   3","DC01"
"3349315","30/05/18","   6","DC01"
"3352502","19/06/18","   4","DC01"
"3349315","17/03/18"," 108","DC01"
"3349314","15/03/18"," 141","DC01"
"3351643","07/06/18","  40","DC01"
"3349315","06/03/18","  59","DC01"
"3349314","14/03/18"," 147","DC01"
"3351643","20/06/18","  41","DC01"
"3352505","18/06/18","  12","DC01"
"3349315","19/04/18","  86","DC01"
"3351645","06/06/18","  55","DC01"
"3349315","13/04/18","  89","DC01"
"3351645","19/06/18","   9","DC01"
"3351643","01/06/18","  12","DC01"
"3349315","10/03/18"," 148","DC01"
"3349314","16/03/18"," 138","DC01"
"3349315","23/05/18","  31","DC01"
"3349315","14/04/18","  88","DC01"
"3351645","26/05/18","  16","DC01"
"3351644","21/06/18","  68","DC01"
"3351645","26/06/18","  39","DC01"
"3351643","23/05/18","  14","DC01"
"3352504","20/06/18","  10","DC01"
"3351644","21/05/18","  19","DC01"
"3349315","18/04/18","  86","DC01"
"3349315","02/03/18","  94","DC01"
"3349314","04/05/18","  11","DC01"
"3351644","09/06/18","  50","DC01"
"3349314","14/04/18","  24","DC01"
"3351644","30/06/18"," 285","DC01"
"3349314","17/04/18","  23","DC01"
"3349315","02/04/18"," 121","DC01"
"3349315","19/05/18","  45","DC01"
"3351645","10/06/18","  41","DC01"
"3349315","01/05/18","  81","DC01"
"3349314","03/03/18"," 204","DC01"
"3349315","06/04/18"," 105","DC01"
"3351644","27/06/18"," 362","DC01"
"3349315","20/03/18","  92","DC01"
"3352505","20/06/18","  23","DC01"
"3349314","26/03/18"," 111","DC01"
"3352505","21/06/18","  11","DC01"
"3351645","16/06/18","  21","DC01"
"3351643","27/06/18","  68","DC01"
"3349315","30/04/18","  81","DC01"
"3349314","11/03/18"," 166","DC01"
"3351643","16/06/18","  20","DC01"
"3351644","16/06/18","  37","DC01"
"3352504","29/06/18","   3","DC01"
"3349314","24/03/18"," 119","DC01"
"3349314","09/04/18","  29","DC01"
"3349314","25/03/18"," 117","DC01"
"3349315","07/04/18"," 104","DC01"
"3349315","09/04/18","  99","DC01"
"3351643","25/06/18","  30","DC01"
"3351644","02/06/18","   3","DC01"
"3352502","20/06/18","   6","DC01"
"3351644","29/06/18"," 304","DC01"
"3349315","25/05/18","  20","DC01"
"3351644","18/06/18","  31","DC01"
"3351645","16/05/18","  25","DC01"
"3352505","04/06/18","   4","DC01"
"3349314","03/04/18","  49","DC01"
"3351643","28/06/18","  65","DC01"
"3351644","31/05/18","   9","DC01"
"3349315","17/05/18","  52","DC01"
"3349315","08/03/18","  52","DC01"
"3349315","21/03/18","  87","DC01"
"3349315","04/03/18","  74","DC01"
"3351643","13/06/18","  33","DC01"
"3352502","04/06/18","   3","DC01"
"3349315","09/03/18","  45","DC01"
"3351645","18/05/18","  15","DC01"
"3352505","17/06/18","  10","DC01"
"3351645","28/06/18","  72","DC01"
"3352505","29/06/18","   4","DC01"
"3349315","15/04/18","  88","DC01"
"3351643","16/05/18","  24","DC01"
"3349315","11/05/18","  66","DC01"
"3351645","20/05/18","   9","DC01"
"3351645","02/06/18","  45","DC01"
"3351643","11/06/18","  36","DC01"
"3349314","13/03/18"," 156","DC01"
"3351643","02/06/18","  10","DC01"
"3352504","19/06/18","   8","DC01"
"3349314","05/04/18","  37","DC01"
"3349314","28/04/18","  13","DC01"
"3349315","02/05/18","  81","DC01"
"3352502","15/06/18","   2","DC01"
"3352506","12/07/18","   4","DC01"
"3351645","03/11/18"," 302","DC01"
"3351643","20/07/18","  41","DC01"
"3352503","23/10/18","   8","DC01"
"3351644","14/11/18","  29","DC02"
"3352505","27/12/18","   7","DC01"
"3355210","02/12/18","  54","DC01"
"3352506","16/11/18","  17","DC01"
"3352506","26/11/18","   1","DC01"
"3355209","17/12/18","  51","DC01"
"3355209","02/12/18"," 119","DC02"
"3351643","17/11/18"," 103","DC01"
"3355208","07/12/18","  90","DC01"
"3351643","22/11/18"," 136","DC01"
"3351645","23/12/18"," 530","DC01"
"3355208","06/11/18","  43","DC01"
"3355231","28/11/18"," 160","DC01"
"3351645","13/12/18"," 392","DC02"
"3352503","21/10/18","   6","DC01"
"3352505","26/10/18","  19","DC01"
"3352504","14/12/18","   9","DC01"
"3355209","01/11/18","  24","DC02"
"3359012","31/12/18","  64","DC01"
"3351645","21/07/18"," 347","DC01"
"3352503","08/07/18","   1","DC01"
"3355209","19/10/18","  85","DC01"
"3351643","25/10/18"," 192","DC01"
"3351645","25/10/18"," 337","DC01"
"3351643","21/10/18"," 218","DC01"
"3355209","29/10/18","  37","DC01"
"3351643","15/10/18","  66","DC01"
"3352505","27/10/18","   1","DC02"
"3352505","08/08/18","   2","DC01"
"3352505","19/08/18","   1","DC01"
"3355208","14/09/18","  22","DC01"
"3352505","20/07/18","   3","DC01"
"3352504","22/10/18","   3","DC02"
"3351645","23/08/18","  53","DC01"
"3352506","07/10/18","  14","DC01"
"3352504","16/09/18","   6","DC01"
"3352506","28/10/18","   8","DC02"
"3351643","03/09/18","  58","DC01"
"3355210","15/11/18","  57","DC01"
"3355209","02/12/18"," 127","DC01"
"3355210","05/11/18","  16","DC02"
"3355208","04/11/18","  58","DC01"
"3355210","29/12/18","  25","DC02"
"3355209","11/11/18","  31","DC01"
"3361608","29/12/18","  16","DC02"
"3351643","21/07/18","  40","DC01"
"3352505","30/10/18","   8","DC01"
"3352503","31/10/18","   9","DC01"
"3355208","01/11/18","  43","DC01"
"3351643","04/12/18"," 370","DC01"
"3361608","04/12/18","  36","DC01"
"3355208","07/11/18","  43","DC01"
"3351645","15/12/18"," 389","DC02"
"3352504","20/12/18","   6","DC01"
"3352504","17/07/18","   3","DC01"
"3351644","26/12/18"," 179","DC02"
"3359012","02/11/18","   5","DC01"
"3355209","03/11/18","  16","DC01"
"3352504","07/10/18","   7","DC01"
"3355209","03/09/18","   3","DC01"
"3352503","27/06/18","   1","DC01"
"3351643","24/08/18","  83","DC01"
"3352506","12/09/18","  11","DC01"
"3352504","30/09/18","  13","DC01"
"3351643","30/09/18","  11","DC02"
"3349315","26/05/18","  17","DC01"
"3355231","19/09/18","  22","DC01"
"3352502","08/10/18","   6","DC01"
"3351643","15/10/18","   7","DC02"
"3351644","14/09/18","  50","DC01"
"3351645","27/09/18","  65","DC01"
"3352503","16/10/18","   3","DC01"
"3352505","08/09/18","  10","DC01"
"3351643","20/05/18","  17","DC01"
"3351644","28/09/18","  22","DC01"
"3351644","10/11/18"," 196","DC01"
"3355208","28/11/18"," 128","DC02"
"3355210","14/12/18","  87","DC01"
"3355231","25/12/18","   9","DC02"
"3355209","16/10/18"," 105","DC01"
"3355209","07/11/18","  49","DC01"
"3352506","05/12/18","   2","DC01"
"3359012","10/12/18"," 105","DC01"
"3355210","21/12/18","  19","DC02"
"3351645","16/10/18","  14","DC02"
"3352506","08/11/18","   8","DC01"
"3352505","30/11/18","   7","DC01"
"3351645","26/12/18"," 368","DC02"
"3351643","22/10/18","  15","DC02"
"3352505","27/10/18","   7","DC01"
"3359012","30/11/18"," 121","DC02"
"3359011","26/12/18"," 106","DC02"
"3351644","05/10/18","   9","DC02"
"3355210","06/12/18","  29","DC01"
"3355209","18/10/18","  98","DC01"
"3352506","05/11/18","   2","DC01"
"3355231","24/12/18","   7","DC02"
"3355231","10/10/18","  42","DC02"
"3351644","21/11/18","  29","DC02"
"3351644","14/10/18","  90","DC01"
"3351645","17/11/18"," 248","DC01"
"3359012","08/12/18","  61","DC02"
"3352505","13/12/18","   1","DC01"
"3351643","08/10/18","   9","DC02"
"3351645","14/12/18"," 391","DC02"
"3359011","14/12/18","  95","DC02"
"3352503","24/08/18","   2","DC01"
"3351644","24/09/18","   9","DC02"
"3355210","08/09/18","  20","DC01"
"3352502","20/08/18","   5","DC01"
"3355208","18/10/18","  29","DC01"
"3352504","26/11/18","   1","DC01"
"3351645","16/11/18","  52","DC02"
"3351643","21/11/18"," 146","DC01"
"3351644","19/09/18","   9","DC02"
"3352502","26/09/18","   4","DC01"
"3355210","20/09/18","  13","DC01"
"3359011","17/11/18","  31","DC02"
"3352504","08/10/18","   1","DC01"
"3355231","15/10/18","  38","DC02"
"3351644","14/09/18","  10","DC02"
"3359011","22/11/18","  26","DC02"
"3351644","22/11/18","  28","DC02"
"3359012","03/12/18","  64","DC01"
"3355208","25/09/18"," 102","DC01"
"3355209","25/09/18","  95","DC01"
"3352505","25/09/18","   7","DC01"
"3352503","21/10/18","   4","DC02"
"3352506","15/09/18","  13","DC01"
"3351643","16/10/18","  65","DC01"
"3352503","07/11/18","   7","DC01"
"3355231","08/11/18","  12","DC02"
"3351645","28/09/18","  60","DC01"
"3351645","11/09/18","  56","DC01"
"3355209","17/10/18","  49","DC02"
"3359012","20/11/18","  30","DC02"
"3355231","01/12/18"," 122","DC02"
"3352505","17/10/18","   6","DC01"
"3351643","24/10/18","  13","DC02"
"3352502","30/10/18","   8","DC02"
"3352505","13/08/18","   9","DC01"
"3351643","02/07/18","  53","DC01"
"3355208","02/09/18","   7","DC01"
"3351645","25/08/18","  46","DC01"
"3352505","05/07/18","   3","DC01"
"3355208","29/12/18","  83","DC01"
"3352505","17/08/18","   5","DC01"
"3352504","27/07/18","   7","DC01"
"3359011","31/12/18","  69","DC02"
"3351645","18/08/18","  59","DC01"
"3351643","01/07/18","  55","DC01"
"3359012","24/12/18","  57","DC02"
"3352502","22/08/18","   8","DC01"
"3351643","28/09/18","  40","DC01"
"3355208","12/12/18","  70","DC01"
"3352504","29/12/18","  11","DC01"
"3359011","29/12/18","  69","DC02"
"3352502","02/09/18","  10","DC01"
"3351644","29/09/18","   9","DC02"
"3351643","23/09/18","  45","DC01"
"3351643","01/10/18","  11","DC02"
"3352506","24/08/18","  15","DC01"
"3352505","26/08/18","   2","DC01"
"3352502","18/09/18","   1","DC01"
"3361608","23/12/18","  25","DC02"
"3355231","25/12/18","  63","DC01"
"3355208","05/09/18","  13","DC01"
"3355231","27/09/18","  93","DC01"
"3352502","02/10/18","   9","DC01"
"3351644","01/07/18"," 260","DC01"
"3351645","01/07/18","  62","DC01"
"3351643","17/08/18"," 102","DC01"
"3361608","21/12/18","  22","DC02"
"3359012","16/12/18"," 101","DC01"
"3351644","17/12/18"," 199","DC02"
"3351643","22/12/18"," 280","DC02"
"3351643","30/10/18","   3","DC02"
"3355209","20/09/18","  12","DC01"
"3355209","31/08/18","  21","DC01"
"3351643","10/10/18","  84","DC01"
"3351644","21/10/18","  85","DC01"
"3355210","16/11/18","   9","DC02"
"3352503","25/09/18","   4","DC01"
"3355231","30/10/18","  34","DC01"
"3355209","09/10/18","  20","DC02"
"3355231","10/11/18","  22","DC02"
"3355210","01/09/18","  13","DC01"
"3355209","09/09/18","  15","DC01"
"3351645","03/10/18","  19","DC02"
"3352505","09/10/18","   7","DC01"
"3355209","20/10/18","  45","DC02"
"3355208","11/10/18","  34","DC02"
"3355209","19/11/18","  26","DC02"
"3351643","18/09/18","  13","DC02"
"3352502","30/09/18","   8","DC01"
"3351645","29/10/18","  33","DC02"
"3351644","27/08/18","  95","DC01"
"3355210","14/10/18","  93","DC01"
"3351645","18/10/18","  13","DC02"
"3355231","28/10/18","  23","DC02"
"3351644","09/11/18"," 200","DC01"
"3355209","14/11/18","  32","DC02"
"3351644","27/10/18","   1","DC02"
"3352504","31/10/18","  17","DC01"
"3352503","14/09/18","   9","DC01"
"3351645","10/10/18","  18","DC02"
"3355209","15/10/18","  48","DC02"
"3352506","10/07/18","   8","DC01"
"3352504","31/08/18","  11","DC01"
"3351643","21/09/18","  13","DC02"
"3351644","13/07/18"," 260","DC01"
"3351645","13/07/18"," 642","DC01"
"3352503","20/10/18","   3","DC01"
"3355231","28/09/18","  89","DC01"
"3352506","14/08/18","  13","DC01"
"3351643","10/09/18","  13","DC02"
"3351645","05/07/18"," 989","DC01"
"3351645","26/07/18"," 161","DC01"
"3355210","11/09/18","  19","DC01"
"3352503","17/09/18","   2","DC01"
"3355210","18/10/18","   6","DC02"
"3352506","05/09/18","  25","DC01"
"3355208","12/09/18","  25","DC01"
"3355208","06/10/18","  35","DC01"
"3355210","27/08/18","   7","DC01"
"3352502","19/10/18","  25","DC01"
"3351645","19/09/18","  20","DC02"
"3351643","06/11/18","  16","DC02"
"3351643","11/08/18"," 123","DC01"
"3352504","21/08/18","  11","DC01"
"3352506","20/08/18","  14","DC01"
"3355210","01/12/18"," 144","DC02"
"3355231","22/12/18","  63","DC01"
"3361608","22/12/18","  27","DC02"
"3352506","09/11/18","  14","DC01"
"3355231","12/12/18","  50","DC02"
"3361608","17/12/18","  16","DC02"
"3351644","11/11/18"," 190","DC01"
"3351645","21/11/18","   1","DC02"
"3351643","16/11/18","  67","DC02"
"3352503","14/08/18","   1","DC01"
"3351645","19/07/18"," 397","DC01"
"3355210","10/11/18","  26","DC01"
"3355208","08/11/18","  35","DC01"
"3352502","27/10/18","  34","DC01"
"3351645","17/10/18"," 377","DC01"
"3361608","07/12/18","  11","DC02"
"3355209","07/12/18","  78","DC01"
"3359012","13/12/18","   1","DC02"
"3355231","24/10/18","  64","DC01"
"3355231","19/12/18","  38","DC02"
"3361608","19/12/18","  27","DC01"
"3359012","17/11/18","  62","DC02"
"3351643","29/12/18"," 272","DC02"
"3355209","30/10/18","  48","DC01"
"3355209","10/11/18","  37","DC01"
"3351643","03/12/18"," 170","DC02"
"3355210","30/12/18","  43","DC01"
"3355231","27/10/18","  24","DC02"
"3351645","15/10/18","  15","DC02"
"3352506","21/10/18","   7","DC02"
"3352502","16/10/18","   4","DC01"
"3355209","26/10/18","  39","DC02"
"3351645","21/12/18"," 378","DC02"
"3351645","09/10/18","  65","DC01"
"3355231","26/10/18","  46","DC01"
"3355209","30/12/18","  54","DC01"
"3361608","18/12/18","  24","DC02"
"3355208","30/12/18"," 111","DC02"
"3355210","31/12/18","  23","DC02"
"3352506","17/07/18","   6","DC01"
"3352503","28/10/18","   8","DC01"
"3355210","21/12/18","  73","DC01"
"3352505","21/12/18","   3","DC01"
"3352504","26/12/18","  10","DC01"
"3352506","03/11/18","   3","DC01"
"3351643","06/12/18"," 514","DC01"
"3351643","15/11/18"," 225","DC01"
"3351644","15/11/18"," 171","DC01"
"3351643","21/12/18"," 448","DC01"
"3355231","29/10/18","  35","DC01"
"3359012","22/12/18","  91","DC02"
"3351643","23/07/18","  35","DC01"
"3355208","23/10/18","  24","DC02"
"3355209","23/10/18","  65","DC01"
"3355210","17/12/18","  66","DC02"
"3351645","07/12/18"," 505","DC01"
"3351644","31/10/18","  15","DC02"
"3355231","22/11/18","  73","DC02"
"3352504","07/11/18","  10","DC01"
"3355210","12/11/18","  10","DC01"
"3355231","29/10/18","  22","DC02"
"3352502","05/10/18","  17","DC01"
"3355210","19/12/18","  83","DC01"
"3355231","30/09/18","  85","DC01"
"3355208","05/11/18","  28","DC02"
"3355208","10/10/18","  34","DC02"
"3359012","05/11/18","  19","DC02"
"3351644","27/11/18","  24","DC02"
"3355210","19/12/18","  19","DC02"
"3351645","14/10/18","  48","DC01"
"3355231","03/12/18"," 109","DC02"
"3361608","09/12/18","  10","DC02"
"3351643","25/10/18","  10","DC02"
"3351643","31/10/18","   3","DC02"
"3355209","23/11/18","  81","DC02"
"3352505","26/10/18","   1","DC02"
"3351643","04/12/18"," 169","DC02"
"3361608","21/12/18","  17","DC01"
"3351644","28/09/18","   9","DC02"
"3355208","20/10/18","  11","DC01"
"3355209","12/11/18","  26","DC02"
"3351643","02/11/18","  70","DC01"
"3355208","27/12/18"," 112","DC02"
"3352502","28/09/18","   8","DC01"
"3352503","22/10/18","   4","DC01"
"3351645","28/12/18"," 497","DC01"
"3351645","16/09/18","  47","DC01"
"3351645","05/10/18","  18","DC02"
"3352503","02/09/18","  15","DC01"
"3355209","10/09/18","  11","DC01"
"3351643","23/09/18","  12","DC02"
"3355231","24/10/18","  32","DC02"
"3352505","04/07/18","   3","DC01"
"3352506","02/08/18","   3","DC01"
"3355208","03/09/18","   4","DC01"
"3355231","12/09/18","  22","DC01"
"3352504","19/10/18","  10","DC01"
"3352502","01/10/18","  11","DC01"
"3351645","27/07/18"," 128","DC01"
"3355231","28/08/18","   2","DC01"
"3352505","02/10/18","   2","DC01"
"3352502","06/09/18","  13","DC01"
"3352504","06/09/18","   3","DC01"
"3351644","10/10/18"," 130","DC01"
"3355209","08/09/18","  26","DC01"
"3352505","21/09/18","   8","DC01"
"3352505","10/09/18","   4","DC01"
"3352506","10/09/18","   6","DC01"
"3355231","10/09/18","   7","DC01"
"3352506","07/12/18","  12","DC01"
"3355209","19/12/18","  67","DC02"
"3351643","13/12/18"," 483","DC01"
"3351645","23/12/18"," 376","DC02"
"3361608","31/12/18","   9","DC01"
"3351645","07/08/18","  40","DC01"
"3351643","15/12/18"," 289","DC02"
"3352506","11/07/18","   4","DC01"
"3352502","28/08/18","   4","DC01"
"3352502","29/08/18","  15","DC01"
"3351643","10/12/18"," 291","DC02"
"3352505","26/12/18","   6","DC01"
"3351643","11/12/18"," 496","DC01"
"3351644","22/12/18"," 189","DC01"
"3352506","22/09/18","   9","DC01"
"3355209","13/09/18","  26","DC01"
"3351644","03/07/18"," 216","DC01"
"3352503","03/07/18","   2","DC01"
"3351645","20/09/18","  20","DC02"
"3351645","17/12/18"," 388","DC02"
"3355231","22/12/18","   8","DC02"
"3352503","31/08/18","  20","DC01"
"3352505","07/09/18","  19","DC01"
"3355210","09/10/18"," 129","DC01"
"3351644","15/09/18","  48","DC01"
"3351645","04/08/18","  54","DC01"
"3355208","01/09/18","  13","DC01"
"3351643","08/07/18"," 138","DC01"
"3351644","09/07/18"," 179","DC01"
"3351644","18/07/18"," 244","DC01"
"3351644","02/09/18","  82","DC01"
"3352505","16/08/18","   3","DC01"
"3355208","31/12/18","  81","DC01"
"3355231","16/12/18","  56","DC01"
"3355210","26/11/18"," 124","DC01"
"3355210","12/12/18","  79","DC02"
"3352503","02/08/18","   2","DC01"
"3355209","24/12/18","  28","DC01"
"3351645","06/08/18","  42","DC01"
"3351643","08/12/18"," 500","DC01"
"3352502","08/12/18","   7","DC01"
"3351645","13/12/18"," 577","DC01"
"3351643","09/07/18"," 111","DC01"
"3355231","20/12/18","  80","DC01"
"3351644","19/07/18"," 241","DC01"
"3351643","28/08/18","  74","DC01"
"3351643","15/12/18"," 474","DC01"
"3352505","28/07/18","  13","DC01"
"3352504","07/09/18","  23","DC01"
"3352506","21/12/18","  12","DC01"
"3355208","20/11/18"," 138","DC01"
"3352502","06/12/18","   5","DC01"
"3352502","17/12/18","   6","DC01"
"3352503","28/12/18","  10","DC01"
"3351645","06/07/18"," 938","DC01"
"3352506","13/07/18","   6","DC01"
"3355208","11/12/18","  72","DC01"
"3355231","29/09/18","  88","DC01"
"3352503","07/10/18","  24","DC01"
